date	HG-IV	Fevi	F4	EGC
2017-01-26	79.402746	79.402746	75.417142	-25.902655
2017-01-27	88.223956	88.223956	75.417142	-22.302148
2017-01-28	88.223956	88.223956	80.986445	-28.58563
2017-01-29	82.388024	82.388024	80.986445	-28.888549
2017-01-30	48.154775	48.154775	75.417142	-28.58563
2017-01-31	79.776608	79.776608	80.986445	-22.940803
2017-02-01	41.415776	41.415776	75.417142	-32.861575
2017-02-02	49.317193	49.317193	75.417142	-7.186796
2017-02-03	73.85892	73.85892	72.420457	-11.595707
2017-02-04	90.987384	90.987384	76.009574	-20.047416
2017-02-05	73.337106	73.337106	72.420457	-28.58563
2017-02-06	67.269246	67.269246	79.815974	-24.264837
2017-02-07	53.762974	53.762974	67.346022	-15.766072
2017-02-08	43.146923	43.146923	79.953671	-23.360647
2017-02-09	33.99402	33.99402	72.420457	-22.940803
2017-02-10	28.714563	28.714563	67.130453	-33.467186
2017-02-11	29.270734	29.270734	72.058675	-15.68695
2017-02-12	23.076943	23.076943	57.173245	-6.689921
2017-02-13	33.099209	33.099209	73.361661	-17.510752
2017-02-14	25.347332	25.347332	71.49575	-23.360647
2017-02-15	15.340924	15.340924	71.30621	-47.950414
2017-02-16	20.560712	20.560712	76.144861	-34.88855
2017-02-17	20.560712	20.560712	76.144861	-46.770989
2017-02-18	11.226961	11.226961	66.675043	-47.950414
2017-02-19	34.545422	34.545422	75.417142	-48.392753
2017-02-20	64.393147	64.393147	75.417142	-36.305638
2017-02-21	55.506477	55.506477	75.417142	-46.770989
2017-02-22	96.049397	96.049397	80.986445	-34.556229
2017-02-23	102.49595	102.49595	75.417142	-20.866217
2017-02-24	88.649724	88.649724	76.009574	-24.264837
2017-02-25	80.854803	80.854803	75.417142	-28.434122
2017-02-26	73.677362	73.677362	76.009574	-23.360647
2017-02-27	60.562017	60.562017	75.417142	-17.510752
2017-02-28	35.701492	35.701492	80.056208	-17.510752
2017-03-01	48.154775	48.154775	75.417142	-17.510752
2017-03-02	41.415776	41.415776	75.417142	-29.322438
2017-03-03	33.99402	33.99402	76.009574	-37.148251
2017-03-04	22.382113	22.382113	67.130453	-71.088387
2017-03-05	19.966001	19.966001	65.704923	-47.416603
2017-03-06	12.33507	12.33507	67.363607	-59.518476
2017-03-07	11.226961	11.226961	63.8313	-69.239802
2017-03-08	29.270734	29.270734	80.986445	-28.58563
2017-03-09	81.575109	81.575109	80.986445	-49.989617
2017-03-10	93.193697	93.193697	75.417142	-56.7861
2017-03-11	71.079036	71.079036	75.417142	-62.902652
2017-03-12	65.581034	65.581034	75.417142	-62.902652
2017-03-13	55.546017	55.546017	84.205534	-52.001957
2017-03-14	62.375593	62.375593	75.417142	-44.137193
2017-03-15	71.472053	71.472053	75.417142	-44.137193
2017-03-16	73.633697	73.633697	75.417142	-37.151715
2017-03-17	67.251639	67.251639	75.417142	-25.037491
2017-03-18	57.403337	57.403337	73.591067	-35.33417
2017-03-19	43.392512	43.392512	77.737044	-32.861575
2017-03-20	41.415776	41.415776	64.117701	-12.694357
2017-03-21	41.995562	41.995562	73.761674	-29.322438
2017-03-22	50.896582	50.896582	68.744404	-38.69301
2017-03-23	46.598066	46.598066	75.417142	-45.730378
2017-03-24	34.545422	34.545422	75.417142	-45.730378
2017-03-25	43.087339	43.087339	66.567981	-44.137193
2017-03-26	48.154775	48.154775	69.865653	-41.889564
2017-03-27	43.392512	43.392512	61.149301	-44.137193
2017-03-28	35.528445	35.528445	53.563905	-46.935825
2017-03-29	32.093969	32.093969	71.035542	-45.730378
2017-03-30	30.735744	30.735744	56.095479	-45.730378
2017-03-31	28.714563	28.714563	53.563905	-54.315127
2017-04-01	17.491371	17.491371	63.408845	-20.125625
2017-04-02	11.226961	11.226961	63.070448	-63.137756
2017-04-03	17.003417	17.003417	60.055421	-43.104333
2017-04-04	11.226961	11.226961	65.704923	-65.724221
2017-04-05	3.508839	3.508839	54.586742	-71.491606
2017-04-06	3.508839	3.508839	57.75744	-21.393259
2017-04-07	6.266967	6.266967	58.620363	-49.724103
2017-04-08	3.508839	3.508839	57.75744	-37.348517
2017-04-09	6.550109	6.550109	62.301157	-60.392966
2017-04-10	17.003417	17.003417	71.241461	-52.105519
2017-04-11	23.076943	23.076943	76.009574	-56.192619
2017-04-12	23.076943	23.076943	76.009574	-49.724103
2017-04-13	17.003417	17.003417	71.241461	-44.676021
2017-04-14	28.815113	28.815113	80.986445	-34.103155
2017-04-15	35.059135	35.059135	75.154497	-40.913764
2017-04-16	33.99402	33.99402	75.417142	-46.770989
2017-04-17	37.917992	37.917992	72.058675	-44.137193
2017-04-18	41.995562	41.995562	80.986445	-41.369924
2017-04-19	41.995562	41.995562	75.417142	-40.913764
2017-04-20	41.415776	41.415776	75.417142	-46.950841
2017-04-21	40.043952	40.043952	73.361661	-34.88855
2017-04-22	35.059135	35.059135	80.056208	-35.33417
2017-04-23	39.527941	39.527941	80.986445	-32.861575
2017-04-24	37.061152	37.061152	75.417142	-33.467186
2017-04-25	33.99402	33.99402	76.009574	-36.305638
2017-04-26	28.714563	28.714563	73.574424	-33.467186
2017-04-27	22.382113	22.382113	71.49575	-34.606315
2017-04-28	7.79998	7.79998	53.365945	-20.866217
2017-04-29	6.550109	6.550109	62.445009	-11.595707
2017-04-30	23.414851	23.414851	65.704923	-20.047416
2017-05-01	9.762336	9.762336	42.911335	-42.093644
2017-05-02	6.550109	6.550109	62.301157	-20.047416
2017-05-03	-6.266967	-6.266967	48.817065	-40.668476
2017-05-04	-7.563863	-7.563863	40.494588	-17.111008
2017-05-05	6.550109	6.550109	60.055421	-8.510357
2017-05-06	6.550109	6.550109	60.055421	-32.382429
2017-05-07	15.340924	15.340924	67.130453	-40.252822
