study_accession	sample_accession	experiment_accession	run_accession	fastq_ftp	sample_title
PRJEB43504	SAMEA8401672	ERX5313725	ERR5533318	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533318/ERR5533318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533318/ERR5533318_2.fastq.gz	RAS_Fevi_01_1617
PRJEB43504	SAMEA8401677	ERX5313726	ERR5533319	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533319/ERR5533319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533319/ERR5533319_2.fastq.gz	RAS_Fevi_12_1617
PRJEB43504	SAMEA8401680	ERX5313727	ERR5533320	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533320/ERR5533320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533320/ERR5533320_2.fastq.gz	RAS_Fevi_11_1617
PRJEB43504	SAMEA8401683	ERX5313728	ERR5533321	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533321/ERR5533321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533321/ERR5533321_2.fastq.gz	RAS_Fevi_10_1617
PRJEB43504	SAMEA8401686	ERX5313729	ERR5533322	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533322/ERR5533322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533322/ERR5533322_2.fastq.gz	RAS_Fevi_09_1617_2
PRJEB43504	SAMEA8401687	ERX5313730	ERR5533323	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533323/ERR5533323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533323/ERR5533323_2.fastq.gz	RAS_Fevi_09_1617_1
PRJEB43504	SAMEA8401691	ERX5313731	ERR5533324	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533324/ERR5533324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533324/ERR5533324_2.fastq.gz	RAS_Fevi_08_1617_2
PRJEB43504	SAMEA8401693	ERX5313732	ERR5533325	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533325/ERR5533325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533325/ERR5533325_2.fastq.gz	RAS_Fevi_08_1617_1
PRJEB43504	SAMEA8401557	ERX5313733	ERR5533326	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533326/ERR5533326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533326/ERR5533326_2.fastq.gz	RAS_F4_07_1617_4
PRJEB43504	SAMEA8401697	ERX5313734	ERR5533327	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533327/ERR5533327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533327/ERR5533327_2.fastq.gz	RAS_F4_07_1617_3
