study_accession	sample_accession	experiment_accession	run_accession	fastq_ftp	sample_title	
PRJEB43890	SAMEA8401608	ERX5313792	ERR5533384	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533384/ERR5533384_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533384/ERR5533384_2.fastq.gz	RAS_HG_01_1617	
PRJEB43890	SAMEA8401611	ERX5313793	ERR5533385	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533385/ERR5533385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533385/ERR5533385_2.fastq.gz	RAS_HG_12_1617	
PRJEB43890	SAMEA8401611	ERX5313794	ERR5533386	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533386/ERR5533386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533386/ERR5533386_2.fastq.gz	RAS_HG_12_1617	
PRJEB43890	SAMEA8401614	ERX5313795	ERR5533387	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533387/ERR5533387_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533387/ERR5533387_2.fastq.gz	RAS_HG_11_1617	
PRJEB43890	SAMEA8401614	ERX5313796	ERR5533388	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533388/ERR5533388_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533388/ERR5533388_2.fastq.gz	RAS_HG_11_1617	
PRJEB43890	SAMEA8401617	ERX5313797	ERR5533389	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533389/ERR5533389_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533389/ERR5533389_2.fastq.gz	RAS_HG_10_1617	
PRJEB43890	SAMEA8401617	ERX5313798	ERR5533390	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533390/ERR5533390_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533390/ERR5533390_2.fastq.gz	RAS_HG_10_1617	
PRJEB43890	SAMEA8401620	ERX5313799	ERR5533391	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533391/ERR5533391_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533391/ERR5533391_2.fastq.gz	RAS_HG_09_1617_2	
PRJEB43890	SAMEA8401620	ERX5313800	ERR5533392	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533392/ERR5533392_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533392/ERR5533392_2.fastq.gz	RAS_HG_09_1617_2	
PRJEB43890	SAMEA8401623	ERX5313801	ERR5533393	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533393/ERR5533393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533393/ERR5533393_2.fastq.gz	RAS_HG_09_1617_1	
PRJEB43890	SAMEA8401623	ERX5313802	ERR5533394	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533394/ERR5533394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533394/ERR5533394_2.fastq.gz	RAS_HG_09_1617_1	
PRJEB43890	SAMEA8401626	ERX5313803	ERR5533395	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533395/ERR5533395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533395/ERR5533395_2.fastq.gz	RAS_HG_08_1617_2	
PRJEB43890	SAMEA8401626	ERX5313804	ERR5533396	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533396/ERR5533396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533396/ERR5533396_2.fastq.gz	RAS_HG_08_1617_2	
PRJEB43890	SAMEA8401628	ERX5313805	ERR5533397	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533397/ERR5533397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533397/ERR5533397_2.fastq.gz	RAS_HG_08_1617_1	
PRJEB43890	SAMEA8401628	ERX5313806	ERR5533398	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533398/ERR5533398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533398/ERR5533398_2.fastq.gz	RAS_HG_08_1617_1	
PRJEB43890	SAMEA8401631	ERX5313807	ERR5533399	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533399/ERR5533399_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533399/ERR5533399_2.fastq.gz	RAS_Fevi_07_1617_4	
PRJEB43890	SAMEA8401631	ERX5313808	ERR5533400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533400/ERR5533400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533400/ERR5533400_2.fastq.gz	RAS_Fevi_07_1617_4	
PRJEB43890	SAMEA8401634	ERX5313809	ERR5533401	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533401/ERR5533401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533401/ERR5533401_2.fastq.gz	RAS_Fevi_07_1617_3	
PRJEB43890	SAMEA8401634	ERX5313810	ERR5533402	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533402/ERR5533402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533402/ERR5533402_2.fastq.gz	RAS_Fevi_07_1617_3	
PRJEB43890	SAMEA8401637	ERX5313811	ERR5533403	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533403/ERR5533403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/003/ERR5533403/ERR5533403_2.fastq.gz	RAS_Fevi_07_1617_2	
PRJEB43890	SAMEA8401637	ERX5313812	ERR5533404	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533404/ERR5533404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/004/ERR5533404/ERR5533404_2.fastq.gz	RAS_Fevi_07_1617_2	
PRJEB43890	SAMEA8401638	ERX5313813	ERR5533405	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533405/ERR5533405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/005/ERR5533405/ERR5533405_2.fastq.gz	RAS_Fevi_07_1617_1	
PRJEB43890	SAMEA8401638	ERX5313814	ERR5533406	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533406/ERR5533406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/006/ERR5533406/ERR5533406_2.fastq.gz	RAS_Fevi_07_1617_1	
PRJEB43890	SAMEA8401640	ERX5313815	ERR5533407	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533407/ERR5533407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/007/ERR5533407/ERR5533407_2.fastq.gz	RAS_Fevi_06_1617_2	
PRJEB43890	SAMEA8401640	ERX5313816	ERR5533408	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533408/ERR5533408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/008/ERR5533408/ERR5533408_2.fastq.gz	RAS_Fevi_06_1617_2	
PRJEB43890	SAMEA8401643	ERX5313817	ERR5533409	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533409/ERR5533409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/009/ERR5533409/ERR5533409_2.fastq.gz	RAS_Fevi_06_1617_1	
PRJEB43890	SAMEA8401643	ERX5313818	ERR5533410	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533410/ERR5533410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/000/ERR5533410/ERR5533410_2.fastq.gz	RAS_Fevi_06_1617_1	
PRJEB43890	SAMEA8401645	ERX5313819	ERR5533411	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533411/ERR5533411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/001/ERR5533411/ERR5533411_2.fastq.gz	RAS_Fevi_05_1617_2	
PRJEB43890	SAMEA8401645	ERX5313820	ERR5533412	ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533412/ERR5533412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR553/002/ERR5533412/ERR5533412_2.fastq.gz	RAS_Fevi_05_1617_2	
